latitude,longitude,brightness,acq_date,confidence
15.87724,76.60292,330.8,11/18/2025,n
15.8738,76.60245,338.84,11/18/2025,n
17.15224,81.73167,331.05,11/18/2025,n
16.87651,79.77934,333.83,11/18/2025,n
16.85686,79.60435,336.8,11/18/2025,n
16.39314,77.26582,331.07,11/18/2025,n
16.9062,79.50606,340,11/18/2025,n
17.60647,83.20243,344.02,11/18/2025,n
17.61109,83.20525,338.76,11/18/2025,n
16.99063,79.80872,331.36,11/18/2025,n
16.46719,77.16704,343.85,11/18/2025,n
16.47314,77.16574,333.18,11/18/2025,n
16.76105,78.25114,334.2,11/18/2025,n
16.48784,76.67315,332.31,11/18/2025,n
17.0522,78.75541,335.04,11/18/2025,n
16.75591,77.09963,339.92,11/18/2025,n
16.73079,77.05891,331.42,11/18/2025,n
16.75265,77.10191,338.4,11/18/2025,n
16.57479,75.50795,335.19,11/18/2025,n
15.80807,78.16725,367,11/18/2025,h
15.80891,78.17127,336.71,11/18/2025,n
15.82838,78.17945,336.38,11/18/2025,n
15.83402,78.17815,344.89,11/18/2025,n
15.86846,78.31622,330.09,11/18/2025,n
16.12992,79.52426,332.26,11/18/2025,n
15.91889,78.33382,337.88,11/18/2025,n
15.91573,78.31824,337.93,11/18/2025,n
15.56066,76.54331,331.19,11/18/2025,n
16.4404,80.86275,331.4,11/18/2025,n
15.91631,78.33409,336.54,11/18/2025,n
15.91864,78.31736,332.62,11/18/2025,n
16.44168,80.86524,336.61,11/18/2025,n
15.564,76.54491,340.34,11/18/2025,n
15.95867,78.31271,330.46,11/18/2025,n
16.01866,78.20456,332.66,11/18/2025,n
16.02021,78.2038,331.19,11/18/2025,n
16.37179,79.73215,339.26,11/18/2025,n
15.81216,76.98785,336.92,11/18/2025,n
15.81114,76.98309,334.18,11/18/2025,n
22.68794,77.78362,333.12,11/18/2025,n
22.89454,78.63222,329.39,11/18/2025,l
23.1587,79.85461,329.33,11/18/2025,n
22.86676,78.42692,331.2,11/18/2025,n
22.83944,78.29677,334.59,11/18/2025,n
22.78511,78.0396,342.24,11/18/2025,n
22.88379,78.48403,336.48,11/18/2025,n
23.80397,83.23236,327.9,11/18/2025,n
23.16505,79.79348,367,11/18/2025,h
23.2274,80.06277,329.62,11/18/2025,n
23.16632,79.75311,329.58,11/18/2025,l
24.02891,84.46326,328.9,11/18/2025,n
23.19401,79.84634,330.45,11/18/2025,n
22.91279,78.45252,329.31,11/18/2025,n
23.18437,79.77392,338.95,11/18/2025,n
23.22769,80.06403,331.66,11/18/2025,n
23.16892,79.75424,337.59,11/18/2025,n
22.73808,77.70779,329.68,11/18/2025,n
23.1827,79.77604,341.39,11/18/2025,n
23.1842,79.76069,328.84,11/18/2025,n
23.17832,79.73196,333.46,11/18/2025,n
23.15949,79.64014,329.54,11/18/2025,n
23.15748,79.63039,336.16,11/18/2025,n
23.21718,79.87706,339.8,11/18/2025,n
23.21298,79.83363,334.29,11/18/2025,n
23.18483,79.64951,340.78,11/18/2025,n
22.82635,77.94199,331.05,11/18/2025,n
22.85017,78.02815,329.57,11/18/2025,l
23.22873,79.82005,335.31,11/18/2025,n
23.20511,79.68027,336.84,11/18/2025,n
23.26859,79.97253,333.77,11/18/2025,n
23.35048,80.27121,328.82,11/18/2025,n
23.33046,80.05447,332.6,11/18/2025,n
23.34183,80.06613,329.02,11/18/2025,n
23.34617,80.0651,340.72,11/18/2025,n
23.35941,80.10971,334.5,11/18/2025,n
22.98698,78.25855,332.99,11/18/2025,n
23.34544,80.06313,332.62,11/18/2025,n
23.35991,80.11213,333.47,11/18/2025,n
23.29795,79.76212,333.05,11/18/2025,n
23.34798,79.98568,330.56,11/18/2025,n
22.98761,78.25801,330.3,11/18/2025,n
23.39346,80.18905,329.64,11/18/2025,n
23.31549,79.80275,339.9,11/18/2025,n
23.39238,80.16112,340.36,11/18/2025,n
23.34081,79.90495,339.08,11/18/2025,n
